Company,Current Price,Volatility,Risk Level
CHEMCON,"Ticker
CHEMCON.NS   167.97
Name: 2025-04-07 00:00:00, dtype: float64",0.02023,Medium
HUHTAMAKI,"Ticker
HUHTAMAKI.NS   180.45
Name: 2025-04-07 00:00:00, dtype: float64",0.0307,High
AMBICAAGAR,"Ticker
AMBICAAGAR.NS   26.03
Name: 2025-04-07 00:00:00, dtype: float64",0.03099,High
IRB,"Ticker
IRB.NS   43.19
Name: 2025-04-07 00:00:00, dtype: float64",0.02657,Medium
MAGADSUGAR,"Ticker
MAGADSUGAR.NS   618.50
Name: 2025-04-07 00:00:00, dtype: float64",0.03417,High
ROML,"Ticker
ROML.NS   43.38
Name: 2025-04-07 00:00:00, dtype: float64",0.03026,High
HLVLTD,"Ticker
HLVLTD.NS   11.95
Name: 2025-04-07 00:00:00, dtype: float64",0.03697,High
RECLTD,"Ticker
RECLTD.NS   384.35
Name: 2025-04-07 00:00:00, dtype: float64",0.02604,Medium
NIRAJISPAT,"Ticker
NIRAJISPAT.NS   267.16
Name: 2025-04-04 00:00:00, dtype: float64",0.01185,Low
KALYANIFRG,"Ticker
KALYANIFRG.NS   519.35
Name: 2025-04-07 00:00:00, dtype: float64",0.03119,High
MEP,"Ticker
MEP.NS   1.17
Name: 2025-04-07 00:00:00, dtype: float64",0.03383,High
BSHSL,"Ticker
BSHSL.NS   119.76
Name: 2025-04-07 00:00:00, dtype: float64",0.02952,Medium
STEELCAS,"Ticker
STEELCAS.NS   794.35
Name: 2025-04-07 00:00:00, dtype: float64",0.02846,Medium
BEL,"Ticker
BEL.NS   272.10
Name: 2025-04-07 00:00:00, dtype: float64",0.02225,Medium
BAJAJHLDNG,"Ticker
BAJAJHLDNG.NS   10779.60
Name: 2025-04-07 00:00:00, dtype: float64",0.02458,Medium
DCBBANK,"Ticker
DCBBANK.NS   113.07
Name: 2025-04-07 00:00:00, dtype: float64",0.01855,Medium
SECURKLOUD,"Ticker
SECURKLOUD.NS   22.86
Name: 2025-04-07 00:00:00, dtype: float64",0.04242,High
BHANDARI,"Ticker
BHANDARI.NS   4.79
Name: 2025-04-07 00:00:00, dtype: float64",0.03087,High
ARMANFIN,"Ticker
ARMANFIN.NS   1316.50
Name: 2025-04-07 00:00:00, dtype: float64",0.02986,Medium
LUMAXTECH,"Ticker
LUMAXTECH.NS   475.00
Name: 2025-04-07 00:00:00, dtype: float64",0.02726,Medium
MANGALAM,"Ticker
MANGALAM.NS   73.32
Name: 2025-04-07 00:00:00, dtype: float64",0.03196,High
SHANKARA,"Ticker
SHANKARA.NS   586.65
Name: 2025-04-07 00:00:00, dtype: float64",0.0365,High
UJJIVANSFB,"Ticker
UJJIVANSFB.NS   35.14
Name: 2025-04-07 00:00:00, dtype: float64",0.02333,Medium
TMB,"Ticker
TMB.NS   412.45
Name: 2025-04-07 00:00:00, dtype: float64",0.01203,Low
AARTIPHARM,"Ticker
AARTIPHARM.NS   649.75
Name: 2025-04-07 00:00:00, dtype: float64",0.03125,High
GROBTEA,"Ticker
GROBTEA.NS   895.25
Name: 2025-04-07 00:00:00, dtype: float64",0.03124,High
HDFCLIFE,"Ticker
HDFCLIFE.NS   665.95
Name: 2025-04-07 00:00:00, dtype: float64",0.0154,Medium
PARADEEP,"Ticker
PARADEEP.NS   114.20
Name: 2025-04-07 00:00:00, dtype: float64",0.03342,High
RATNAVEER,"Ticker
RATNAVEER.NS   123.51
Name: 2025-04-07 00:00:00, dtype: float64",0.03619,High
ASAL,"Ticker
ASAL.NS   431.20
Name: 2025-04-07 00:00:00, dtype: float64",0.03431,High
KMSUGAR,"Ticker
KMSUGAR.NS   26.18
Name: 2025-04-07 00:00:00, dtype: float64",0.02461,Medium
